,subject,task,session_idx,outcome_idx,outcome,estimate,hidden_parameter,did_change_point_occur,sequence_id
13529,60f0606a61eb5a43c4179887,ada-pos,0,29,0.44968898958799913,0.46875000000000006,0.46069914913067933,False,16
13530,60f0606a61eb5a43c4179887,ada-pos,0,30,0.44705519541452265,0.46875000000000006,0.46069914913067933,False,16
13531,60f0606a61eb5a43c4179887,ada-pos,0,31,0.48606462436279896,0.5062499999999999,0.46069914913067933,False,16
13532,60f0606a61eb5a43c4179887,ada-pos,0,32,0.5218366248918986,0.5546875000000004,0.46069914913067933,False,16
13533,60f0606a61eb5a43c4179887,ada-pos,0,33,0.3719096139133531,0.3953125000000003,0.40568220162521385,True,16
13534,60f0606a61eb5a43c4179887,ada-pos,0,34,0.35936366033555955,0.38437500000000013,0.40568220162521385,False,16
13535,60f0606a61eb5a43c4179887,ada-pos,0,35,0.46724300676062724,0.48125000000000034,0.40568220162521385,False,16
13536,60f0606a61eb5a43c4179887,ada-pos,0,36,0.37454848080168673,0.3953125000000003,0.40568220162521385,False,16
13537,60f0606a61eb5a43c4179887,ada-pos,0,37,0.3962881383192352,0.42500000000000043,0.40568220162521385,False,16
13538,60f0606a61eb5a43c4179887,ada-pos,0,38,0.3536540833992731,0.3843750000000004,0.40568220162521385,False,16
13539,60f0606a61eb5a43c4179887,ada-pos,0,39,0.4122769878514521,0.4343750000000004,0.40568220162521385,False,16
13540,60f0606a61eb5a43c4179887,ada-pos,0,40,0.4318483940899331,0.45000000000000023,0.40568220162521385,False,16
13541,60f0606a61eb5a43c4179887,ada-pos,0,41,0.4438095476581192,0.4671875000000004,0.40568220162521385,False,16
13542,60f0606a61eb5a43c4179887,ada-pos,0,42,0.38263659453407595,0.4015625000000003,0.40568220162521385,False,16
13543,60f0606a61eb5a43c4179887,ada-pos,0,43,0.4294291343125002,0.45156250000000053,0.40568220162521385,False,16
13544,60f0606a61eb5a43c4179887,ada-pos,0,44,0.40491548398053767,0.4218750000000004,0.40568220162521385,False,16
13545,60f0606a61eb5a43c4179887,ada-pos,0,45,0.3890470550136346,0.4062500000000003,0.40568220162521385,False,16
13546,60f0606a61eb5a43c4179887,ada-pos,0,46,0.42744619013741925,0.4484375000000005,0.40568220162521385,False,16
13547,60f0606a61eb5a43c4179887,ada-pos,0,47,0.336776405373311,0.3609375000000004,0.40568220162521385,False,16
13548,60f0606a61eb5a43c4179887,ada-pos,0,48,0.44251657857616655,0.4593750000000004,0.40568220162521385,False,16
13549,60f0606a61eb5a43c4179887,ada-pos,0,49,0.42546931598971266,0.43750000000000033,0.40568220162521385,False,16
13550,60f0606a61eb5a43c4179887,ada-pos,0,50,0.41248415143110123,0.43125000000000024,0.40568220162521385,False,16
13551,60f0606a61eb5a43c4179887,ada-pos,0,51,0.44467347348223135,0.4609375000000003,0.40568220162521385,False,16
13552,60f0606a61eb5a43c4179887,ada-pos,0,52,0.38665758299299885,0.4062500000000001,0.4286490799377485,True,16
13553,60f0606a61eb5a43c4179887,ada-pos,0,53,0.4419813408827035,0.46249999999999997,0.4286490799377485,False,16
13554,60f0606a61eb5a43c4179887,ada-pos,0,54,0.41015437523635495,0.4328124999999998,0.4286490799377485,False,16
13555,60f0606a61eb5a43c4179887,ada-pos,0,55,0.4140158751028455,0.4374999999999999,0.4286490799377485,False,16
13556,60f0606a61eb5a43c4179887,ada-pos,0,56,0.3997724516021065,0.42343749999999974,0.4286490799377485,False,16
13557,60f0606a61eb5a43c4179887,ada-pos,0,57,0.4195564828994183,0.43749999999999994,0.4286490799377485,False,16
13558,60f0606a61eb5a43c4179887,ada-pos,0,58,0.5038425770999013,0.5187500000000002,0.4286490799377485,False,16
13559,60f0606a61eb5a43c4179887,ada-pos,0,59,0.4347702585256268,0.446875,0.4286490799377485,False,16
13560,60f0606a61eb5a43c4179887,ada-pos,0,60,0.41723278871460545,0.43593749999999987,0.4286490799377485,False,16
13561,60f0606a61eb5a43c4179887,ada-pos,0,61,0.4009672267991887,0.4187499999999997,0.4286490799377485,False,16
13562,60f0606a61eb5a43c4179887,ada-pos,0,62,0.4301935850503912,0.4468749999999998,0.4286490799377485,False,16
13563,60f0606a61eb5a43c4179887,ada-pos,0,63,0.40288940164825177,0.41874999999999984,0.4286490799377485,False,16
13564,60f0606a61eb5a43c4179887,ada-pos,0,64,0.468654120391132,0.4796874999999998,0.4286490799377485,False,16
13565,60f0606a61eb5a43c4179887,ada-pos,0,65,0.47325118908099295,0.4874999999999999,0.42118366677563246,True,16
13566,60f0606a61eb5a43c4179887,ada-pos,0,66,0.4020972487403094,0.4187499999999998,0.42118366677563246,False,16
13567,60f0606a61eb5a43c4179887,ada-pos,0,67,0.4438382839663784,0.4562499999999998,0.42118366677563246,False,16
13568,60f0606a61eb5a43c4179887,ada-pos,0,68,0.3707773550132033,0.38437499999999986,0.42118366677563246,False,16
13569,60f0606a61eb5a43c4179887,ada-pos,0,69,0.45139650861910535,0.4687499999999999,0.42118366677563246,False,16
13570,60f0606a61eb5a43c4179887,ada-pos,0,70,0.41242247996648984,0.4312499999999999,0.42118366677563246,False,16
13571,60f0606a61eb5a43c4179887,ada-pos,0,71,0.4026825361675182,0.4187499999999999,0.42118366677563246,False,16
13572,60f0606a61eb5a43c4179887,ada-pos,0,72,0.4041851822678216,0.41874999999999996,0.42118366677563246,False,16
13573,60f0606a61eb5a43c4179887,ada-pos,0,73,0.4308727229251293,0.44375,0.42118366677563246,False,16
13574,60f0606a61eb5a43c4179887,ada-pos,0,74,0.4009041623450176,0.4156249999999999,0.42118366677563246,False,16
13575,60f0606a61eb5a43c4179887,ada-pos,1,0,0.6002622245284592,0.5984374999999997,0.5368566433143613,True,22
13576,60f0606a61eb5a43c4179887,ada-pos,1,1,0.5371778077456896,0.5390624999999996,0.5368566433143613,False,22
13577,60f0606a61eb5a43c4179887,ada-pos,1,2,0.5621249209540821,0.5640624999999997,0.5368566433143613,False,22
13578,60f0606a61eb5a43c4179887,ada-pos,1,3,0.5090320517946318,0.5062499999999995,0.5368566433143613,False,22
13579,60f0606a61eb5a43c4179887,ada-pos,1,4,0.5997396827627001,0.6015624999999996,0.5368566433143613,False,22
13580,60f0606a61eb5a43c4179887,ada-pos,1,5,0.5373579474233444,0.5390624999999991,0.5368566433143613,False,22
13581,60f0606a61eb5a43c4179887,ada-pos,1,6,0.5478899453716982,0.549999999999999,0.5368566433143613,False,22
13582,60f0606a61eb5a43c4179887,ada-pos,1,7,0.4221442767621925,0.4218749999999991,0.521140747124417,True,22
13583,60f0606a61eb5a43c4179887,ada-pos,1,8,0.5206837845872268,0.5171874999999994,0.521140747124417,False,22
13584,60f0606a61eb5a43c4179887,ada-pos,1,9,0.5015441760977879,0.49687499999999946,0.521140747124417,False,22
13585,60f0606a61eb5a43c4179887,ada-pos,1,10,0.5845608543324865,0.5828124999999995,0.521140747124417,False,22
13586,60f0606a61eb5a43c4179887,ada-pos,1,11,0.4656800599703406,0.4671874999999995,0.521140747124417,False,22
13587,60f0606a61eb5a43c4179887,ada-pos,1,12,0.4885382942152493,0.4968749999999993,0.521140747124417,False,22
13588,60f0606a61eb5a43c4179887,ada-pos,1,13,0.5060689628112334,0.5093749999999995,0.521140747124417,False,22
13589,60f0606a61eb5a43c4179887,ada-pos,1,14,0.510346308772395,0.5093749999999995,0.521140747124417,False,22
13590,60f0606a61eb5a43c4179887,ada-pos,1,15,0.527103915624087,0.5328124999999998,0.521140747124417,False,22
13591,60f0606a61eb5a43c4179887,ada-pos,1,16,0.546039468241527,0.55,0.521140747124417,False,22
